articulation_rate,attitude,task,subject
3.380492038,inf,not,F1
12.15927695,pol,not,F1
6.188190792,inf,not,F1
6.025763212,pol,not,F1
5.614615731,pol,dct,F1
5.819431358,inf,dct,F1
6.494711449,pol,dct,F1
6.220725995,inf,dct,F1
4.886825563,pol,dct,F1
7.789678676,inf,dct,F1
6.282799911,pol,dct,F1
6.372724738,inf,dct,F1
6.398376136,pol,dct,F1
5.063291139,inf,dct,F1
4.436068512,inf,not,F2
8.00494563,pol,not,F2
5.651761623,inf,not,F2
5.674962678,pol,not,F2
5.644514423,pol,dct,F2
5.813712055,inf,dct,F2
5.883975361,pol,dct,F2
5.575689992,inf,dct,F2
5.588153115,pol,dct,F2
7.349113513,inf,dct,F2
6.512287154,pol,dct,F2
7.420295788,inf,dct,F2
5.949301604,pol,dct,F2
6.600660066,inf,dct,F2
5.939456874,pol,not,F3
5.845844533,inf,not,F3
5.55736217,inf,not,F3
5.382224021,pol,not,F3
5.473687204,pol,dct,F3
6.403114475,inf,dct,F3
6.036668449,pol,dct,F3
5.356099461,inf,dct,F3
7.080899274,pol,dct,F3
6.778667351,inf,dct,F3
6.205066758,pol,dct,F3
6.95767916,inf,dct,F3
5.122557181,pol,dct,F3
4.594152563,inf,dct,F3
5.734471052,pol,not,F4
5.815095431,inf,not,F4
6.093518193,inf,not,F4
5.36065188,pol,not,F4
5.333222872,pol,dct,F4
5.918076907,inf,dct,F4
5.349048902,pol,dct,F4
6.493194171,inf,dct,F4
5.526870773,pol,dct,F4
7.769001683,inf,dct,F4
6.224826071,pol,dct,F4
6.625023661,inf,dct,F4
6.286627597,pol,dct,F4
6.832267825,inf,dct,F4
4.821158486,pol,not,F5
5.06520735,inf,not,F5
5.481831166,inf,not,F5
4.833710995,pol,not,F5
5.319591056,pol,dct,F5
5.534449604,inf,dct,F5
7.331898489,pol,dct,F5
8.353894275,inf,dct,F5
5.545568398,pol,dct,F5
5.836797449,inf,dct,F5
5.383959646,pol,dct,F5
8.127310385,inf,dct,F5
5.925487001,pol,dct,F5
8.641005499,inf,dct,F5
6.641313162,pol,not,F6
6.747919006,inf,not,F6
5.480229392,inf,not,F6
4.994823074,pol,not,F6
5.522521296,pol,dct,F6
8.52514919,inf,dct,F6
5.576370132,pol,dct,F6
8.245212623,inf,dct,F6
6.309212468,pol,dct,F6
7.656967841,inf,dct,F6
5.730096102,pol,dct,F6
7.898894155,inf,dct,F6
6.364022062,pol,dct,F6
8.713331397,inf,dct,F6
7.199508098,pol,not,F7
6.912575126,inf,not,F7
6.333769206,inf,not,F7
6.073982822,pol,not,F7
6.832852354,pol,dct,F7
6.729823472,inf,dct,F7
6.669723623,pol,dct,F7
6.661325604,inf,dct,F7
7.286256879,pol,dct,F7
7.277916518,inf,dct,F7
7.053502894,pol,dct,F7
7.662468273,inf,dct,F7
7.318377572,pol,dct,F7
7.250665877,inf,dct,F7
6.051286432,pol,not,F8
6.298383329,inf,not,F8
5.804183326,inf,not,F8
5.137497483,pol,not,F8
5.408517543,pol,dct,F8
6.804086914,inf,dct,F8
5.609415351,pol,dct,F8
5.676899278,inf,dct,F8
5.989180835,pol,dct,F8
6.300462034,inf,dct,F8
6.447656041,pol,dct,F8
6.8129836,inf,dct,F8
6.731320585,pol,dct,F8
6.854596864,inf,dct,F8
6.928892717,pol,not,F9
7.074208936,inf,not,F9
7.259177921,inf,not,F9
6.454484175,pol,not,F9
6.664288798,pol,dct,F9
7.138657932,inf,dct,F9
7.294355291,pol,dct,F9
6.688700031,inf,dct,F9
8.035447804,pol,dct,F9
7.786589762,inf,dct,F9
7.749464375,pol,dct,F9
7.117437722,inf,dct,F9
6.07667661,pol,dct,F9
8.127190532,inf,dct,F9
7.168725736,pol,not,M1
6.444794789,inf,not,M1
6.374139838,inf,not,M1
5.694348752,pol,not,M1
6.401511976,pol,dct,M1
6.916312617,inf,dct,M1
7.989907485,pol,dct,M1
6.146403363,inf,dct,M1
7.637766208,pol,dct,M1
5.31216799,inf,dct,M1
7.286143925,pol,dct,M1
6.593522523,inf,dct,M1
7.31927352,pol,dct,M1
5.946551,inf,dct,M1
6.536750921,pol,not,M2
7.051850158,inf,not,M2
7.588391526,inf,not,M2
6.199583674,pol,not,M2
5.370294599,pol,dct,M2
7.107219514,inf,dct,M2
6.529004272,pol,dct,M2
7.958327304,inf,dct,M2
7.44484934,pol,dct,M2
8.093133288,inf,dct,M2
8.666480291,pol,dct,M2
10.38421599,inf,dct,M2
6.915919189,pol,dct,M2
7.244559614,inf,dct,M2
5.782434385,pol,not,M3
6.745004481,inf,not,M3
6.811249688,inf,not,M3
6.514185513,pol,not,M3
7.473535494,pol,dct,M3
7.633308093,inf,dct,M3
7.707147542,pol,dct,M3
7.664880087,inf,dct,M3
8.685901266,pol,dct,M3
9.282896264,inf,dct,M3
7.181328546,pol,dct,M3
6.937081975,inf,dct,M3
7.969516599,pol,dct,M3
6.859638275,inf,dct,M3
6.610484655,pol,not,M4
6.261547484,inf,not,M4
6.06008842,inf,not,M4
5.784337113,pol,not,M4
5.878020931,pol,dct,M4
7.535717235,inf,dct,M4
7.266442782,pol,dct,M4
8.15017352,inf,dct,M4
6.267248678,pol,dct,M4
7.575757576,inf,dct,M4
4.014394472,pol,dct,M4
12.00198294,inf,dct,M4
8.246527778,pol,dct,M4
7.400383895,inf,dct,M4
5.589378628,pol,not,M5
5.760752159,inf,not,M5
5.798557329,inf,not,M5
5.325450492,pol,not,M5
5.346034215,pol,dct,M5
6.216016831,inf,dct,M5
6.454175355,pol,dct,M5
6.85789254,inf,dct,M5
6.153253069,pol,dct,M5
5.757999506,inf,dct,M5
5.827824218,pol,dct,M5
6.955926792,inf,dct,M5
6.834384022,pol,dct,M5
6.334978537,inf,dct,M5
6.636990158,pol,not,M6
7.471532742,inf,not,M6
7.186427708,inf,not,M6
6.629499611,pol,not,M6
5.677517033,pol,dct,M6
6.900181276,inf,dct,M6
9.003358556,pol,dct,M6
6.077619888,inf,dct,M6
7.51219409,pol,dct,M6
8.387711292,inf,dct,M6
6.27924406,pol,dct,M6
9.255096914,inf,dct,M6
7.618535449,pol,dct,M6
6.355019388,inf,dct,M6
9.241711207,pol,not,M7
6.430289003,inf,not,M7
7.400841818,inf,not,M7
6.842912998,pol,not,M7
6.157876764,pol,dct,M7
6.950963035,inf,dct,M7
6.919642857,pol,dct,M7
7.929125814,inf,dct,M7
7.303342293,pol,dct,M7
8.161890449,inf,dct,M7
7.373148334,pol,dct,M7
8.177952241,inf,dct,M7
6.523544064,pol,dct,M7
9.019165727,inf,dct,M7
